12:39:51.001 [main] INFO  c.m.i.IoTDeviceServiceApplication - Starting IoTDeviceServiceApplication on macbook-gibeon.ecs.soton.ac.uk with PID 28500 (/Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice/bin/main started by gibeon in /Users/gibeon/git/MicroThingsExperiment1/iotdeviceservice)
12:45:52.739 [http-nio-8092-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.745 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.746 [http-nio-8093-exec-10] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():14.0
12:45:52.790 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.794 [http-nio-8091-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.800 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.801 [http-nio-8092-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.813 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.814 [http-nio-8093-exec-1] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():15.0
12:45:52.831 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.831 [http-nio-8091-exec-4] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:52.839 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.839 [http-nio-8092-exec-2] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:52.845 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.845 [http-nio-8093-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():19.0
12:45:52.856 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.856 [http-nio-8091-exec-5] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():21.0
12:45:52.864 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Starting:getDeviceData()
12:45:52.865 [http-nio-8092-exec-3] INFO  c.m.i.rest.IoTDeviceController - Returning:IoTDevice.getDeviceData():21.0
